id,name,name_plural,abbreviation,base_unit,base_conv_factor,conv_type
364,Liberian Dollar per liter,Liberian Dollars per liter,LRD/L,f,"{""factor"": null}",0
367,Lesotho Loti per loaf,Lesotho Maloti per loaf,LSL/loaf,f,"{""factor"": null}",0
368,Egyptian Pound per kilogram,Egyptian Pounds per kilogram,EGP/kg,f,"{""factor"": null}",0
371,Sudanese Pound per liter,Sudanese Pounds per liter,SDG/L,f,"{""factor"": null}",0
372,Ethiopian Birr per kilogram,Ethiopian Birr per kilogram,ETB/kg,f,"{""factor"": null}",0
378,Central African CFA Franc per liter,Central African CFA Francs per liter,XAF/L,f,"{""factor"": null}",0
380,West African CFA Franc per liter,West African CFA Francs per liter,XOF/L,f,"{""factor"": null}",0
381,US Dollar per cubic meter,US Dollars per cubic meter,USD/m³,t,"{""factor"": 1}",0
382,US Dollar per unit,US Dollars per unit,USD/unit,t,"{""factor"": 1}",0
383,US Dollar per loaf,US Dollars per loaf,USD/loaf,f,"{""factor"": null}",0
384,Ghanaian Cedi per kilogram,Ghanaian Cedis per kilogram,GHS/kg,f,"{""factor"": null}",0
386,Price Index in US Dollar (Year 2010=100),Price Indices in US Dollar (Year 2010=100),2010=100,t,"{""factor"": null}",0
389,Guinean Franc per kilogram,Guinean Francs per kilogram,GNF/kg,f,"{""factor"": null}",0
393,Syrian Pound per head,Syrian Pounds per head,SYP/head,f,"{""factor"": null}",0
394,Syrian Pound per kilogram,Syrian Pounds per kilogram,SYP/kg,f,"{""factor"": null}",0
395,Syrian Pound per liter,Syrian Pounds per liter,SYP/L,f,"{""factor"": null}",0
396,Tajikistani Somoni per kilogram,Tajikistani Somoni per kilogram,TJS/kg,f,"{""factor"": null}",0
397,Tajikistani Somoni per liter,Tajikistani Somoni per liter,TJS/L,f,"{""factor"": null}",0
399,Turkish Lira per kilogram,Turkish Liras per kilogram,TRY/kg,f,"{""factor"": null}",0
400,Turkish Lira per liter,Turkish Liras per liter,TRY/L,f,"{""factor"": null}",0
406,Yemeni Rial per kilogram,Yemeni Rials per kilogram,YER/kg,f,"{""factor"": null}",0
407,Yemeni Rial per liter,Yemeni Rials per liter,YER/L,f,"{""factor"": null}",0
408,Zambian Kwacha per kilogram,Zambian Kwachas per kilogram,ZMK/kg,f,"{""factor"": null}",0
415,Kenyan Shilling per kilogram,Kenyan Shillings per kilogram,KES/kg,f,"{""factor"": null}",0
424,Lesotho Loti per kilogram,Lesotho Maloti per kilogram,LSL/kg,f,"{""factor"": null}",0
426,Liberian Dollar per kilogram,Liberian Dollars per kilogram,LRD/kg,f,"{""factor"": null}",0
428,Malagasy Ariary per kilogram,Malagasy Ariary per kilogram,MGA/kg,f,"{""factor"": null}",0
434,hectogram per hive,hectograms per hive,hg/hive,f,"{""factor"": 0.1}",0
435,kilogram per hive,kilograms per hive,kg/hive,t,"{""factor"": 1}",0
436,pound per hive,pounds per hive,lb/hive,f,"{""factor"": 0.45359237}",0
448,Rwandan Franc per kilogram,Rwandan Francs per kilogram,RWF/kg,f,"{""factor"": null}",0
452,Nicaraguan Córdobas per kilogram,Nicaraguan Córdobas per kilogram,NIO/kg,f,"{""factor"": null}",0
453,Nicaraguan Córdobas per liter,Nicaraguan Córdobas per liter,NIO/L,f,"{""factor"": null}",0
463,Sudanese Pound per kilogram,Sudanese Pounds per kilogram,SDG/kg,f,"{""factor"": null}",0
469,US Dollar per liter,US Dollars per liter,USD/L,f,"{""factor"": 1000}",0
472,Tanzanian Shilling per kilogram,Tanzanian Shillings per kilogram,TZS/kg,f,"{""factor"": null}",0
475,Ugandan Shilling per kilogram,Ugandan Shillings per kilogram,UGX/kg,f,"{""factor"": null}",0
476,Algerian Dinar per kilogram,Algerian Dinars per kilogram,DZD/kg,f,"{""factor"": null}",0
477,Algerian Dinar per liter,Algerian Dinars per liter,DZD/L,f,"{""factor"": null}",0
478,West African CFA Franc per kilogram,West African CFA Francs per kilogram,XOF/kg,f,"{""factor"": null}",0
479,Rwandan Franc per head,Rwandan Francs per head,RWF/head,f,"{""factor"": null}",0
483,Ukrainian hryvnia per kilogram,Ukrainian hryven’ per kilogram,UAH/kg,f,"{""factor"": null}",0
485,Dominican Peso per liter,Dominican Pesos per liter,DOP/L,f,"{""factor"": null}",0
486,Ukrainian hryvnia per liter,Ukrainian hryven’ per liter,UAH/L,f,"{""factor"": null}",0
487,Sierra Leonean Leone per liter,Sierra Leonean Leones per liter,SLL/L,f,"{""factor"": null}",0
496,Ethiopian Birr per head,Ethiopian Birr per head,ETB/head,f,"{""factor"": null}",0
651,knot,knots,kt,f,"{""factor"": 0.51444}",0
652,mile per hour,miles per hour,mph,f,"{""factor"": 0.44704}",0
654,degree,degrees,deg,t,"{""factor"": 1}",0
655,degree latitude,degrees latitude,deg lat,t,"{""factor"": 1}",0
662,kilometer per hour,kilometers per hours,kph,f,"{""factor"": 0.27778}",0
668,meter per second,meters per second,m/s,t,"{""factor"": 1}",0
671,millimeter per day,milimeters per day,mm/day,f,"{""factor"": 0.000000011574}",0
672,degree longitude,degrees longitude,deg long,t,"{""factor"": 1}",0
673,inch per day,inches per day,in/d,f,"{""factor"": 0.000000294}",0
675,dozen,dozens,doz,f,"{""factor"": 12}",0
676,dose,doses,ds,f,"{""factor"": 1}",0
677,gross,gross,gross,f,"{""factor"": 144}",0
678,kiloliter,kiloliters,kL,f,"{""factor"": 1}",0
679,liter proof equivalent,liters proof equivalent,litpf,t,"{""factor"": 1}",0
683,US cent per pound,US cents per pound,cts./lb,f,"{""factor"": 0.022046226}",0
684,US Dollar per pound,US Dollars per pound,USD/lb,f,"{""factor"": 2.20462262}",0
685,US Dollar per 60lb bag,US Dollars per 60lb bag,USD/60-lb bag,f,"{""factor"": 0.0166667}",0
697,"US Dollar per bushel (corn, rye, sorghum grain, flaxseed)","US Dollars per bushel (corn, rye, sorghum grain, flaxseed)",USD/bu,f,"{""factor"": 0.039368}",0
698,"US Dollar per bushel (wheat, white potatoes, beans, soybeans, peas)","US Dollars per bushel (wheat, white potatoes, beans, soybeans, peas)",USD/bu,f,"{""factor"": 0.036744}",0
699,barrel per acre,barrels per acre,barrels/acre,f,"{""factor"": 0.0112085}",0
700,box per acre,boxes per acre,boxes/acre,f,"{""factor"": 0.0002471053814915898}",0
701,gallon (fluid) per box,gallons (fluid) per box,gallons/box,f,"{""factor"": 0.003785412}",0
702,gallon (fluid) per tap,gallons (fluid) per tap,gallons/tap,f,"{""factor"": 0.003785412}",0
703,pound per square foot,pounds per square foot,lb/sq ft,f,"{""factor"": 4.88243106}",0
704,running bale,running bales,running bales,t,"{""factor"": 1}",0
705,box,boxes,boxes,t,"{""factor"": 1}",0
706,hundredweight (US) per day,hundredweight (US) per day,cwt/24 hrs,t,"{""factor"": 1}",0
707,US Dollar per box,US Dollars per box,$/box,f,"{""factor"": null}",0
708,US Dollar per hundredweight (US),US Dollars per hundredweight (US),$/cwt,f,"{""factor"": 0.0220462262}",0
709,US Dollar per gallon,US Dollars per gallon,$/gallon,f,"{""factor"": 264.1720372841846}",0
710,plant per acre,plants per acre,plants/acre,f,"{""factor"": 0.0002471053814915898}",0
711,barrel,barrels,barrels,f,"{""factor"": 45.359237}",0
715,US Dollar (constant 2005) per capita,US Dollars (constant 2005) per capita,USD (constant 2005)/capita,f,"{""factor"": null}",0
717,International Dollar (constant 2011),International Dollars (constant 2011),Int Dollar (constant 2011),f,"{""factor"": null}",0
718,person per square kilometer,persons per square kilometer,person per km2,f,"{""factor"": 0.000001}",0
719,person per acre,persons per acre,persons per acre,f,"{""factor"": 0.00024710516301527604}",0
720,person per hectare,persons per hectare,persons per hectare,f,"{""factor"": 0.0001}",0
721,US Dollar (constant 2005) per cubic meter,US Dollars (constant 2005) per cubic meter,USD (constant 2005)/m3,f,"{""factor"": null}",0
722,number per 1000 people,number per 1000 people,number per 1000 people,f,"{""factor"": 0.001}",0
723,number per woman,number per woman,number per woman,t,"{""factor"": 1}",0
724,number per 100 people,number per 100 people,number per 100 people,f,"{""factor"": 0.01}",0
725,kilowatt hours per capita,kilowatt hours per capita,kWh/capita,f,"{""factor"": 3600000}",0
726,number per 1000 live births,number per 1000 live births,number per 1000 live births,f,"{""factor"": 0.001}",0
740,"US Dollar per bushel (barley, buckwheat, apples)","US Dollars per bushel (barley, buckwheat, apples)",USD/bu,f,"{""factor"": 0.04593}",0
741,US Dollar per bushel (oats),US Dollars per bushel (oats),USD/bu,f,"{""factor"": 0.064842}",0
742,"US Dollar per bushel (millet, yams, sweet potatoes)","US Dollars per bushel (millet, yams, sweet potatoes)",USD/bu,f,"{""factor"": 0.0440924524}",0
743,egg,eggs,eggs,t,"{""factor"": 1}",0
744,US Dollar per head,US Dollars per head,USD/head,t,"{""factor"": 1}",0
745,lambs per 100 ewes,lambs per 100 ewes,lambs/100 ewes,f,"{""factor"": 0.01}",0
746,piglet per litter,piglets per litter,piglets/litter,t,"{""factor"": 1}",0
747,egg per 100 chickens,eggs per 100 chickens,eggs/100 chickens,f,"{""factor"": 0.01}",0
748,egg per chicken,eggs per chickens,eggs/chicken,t,"{""factor"": 1}",0
749,US Dollar per dozen eggs,US Dollars per dozen eggs,USD/dozen,f,"{""factor"": 0.0833333333}",0
750,US Dollar per 100 head,US Dollars per 100 head,USD/hundred,f,"{""factor"": 0.01}",0
751,US Dollar per hour,US Dollars per hour,USD/hour,t,"{""factor"": 1}",0
752,Hour per week,Hours per week,Hour/week,t,"{""factor"": 0.005952380952}",0
753,acre per unit,acres per unit,acre/unit,f,"{""factor"": 4046.856422}",0
754,US Dollar per acre,US Dollars per acre,USD/acre,f,"{""factor"": 0.0002471053814915898}",0
755,pound per pound,pounds per pound,lb/lb,f,"{""factor"": 1}",0
756,pound per dozen eggs,pounds per dozen eggs,lb/dozen,f,"{""factor"": 0.037799364}",0
757,"bushel (corn, rye, sorghum grain, flaxseed) per hundredweight (US)","bushels (corn, rye, sorghum grain, flaxseed) per hundredweight (US)",bushel/cwt,f,"{""factor"": 0.560003714}",0
758,"US Dollar per 80,000 kernels","US Dollars per 80,000 kernels","USD/80,000 kernels",f,"{""factor"": null}",0
759,US Dollar per 50 pounds,US Dollars per 50 pounds,USD/50 lbs,f,"{""factor"": 0.044}",0
771,birth per 1000 women,births per 1000 women,births per 1000 women,f,"{""factor"": 0.001}",0
772,kilogram of oil equivalent per capita,kilograms of oil equivalent per capita,kgoe/capita,f,"{""factor"": 41868000}",0
773,tonne per capita,tonnes per capita,tonne per capita,f,"{""factor"": 1000}",0
774,hectoliter,hectoliters,hl,f,"{""factor"": 0.1}",0
775,liter per person,liters per person,lt pp,f,"{""factor"": 1000}",0
776,"tonne, live weight","tonnes, live weight",t,f,"{""factor"": 1000}",0
777,"ton (US, short), live weight","tons (US, short), live weight",t,f,"{""factor"": 907.18474}",0
778,"pound, live weight","pounds, live weight",lb,f,"{""factor"": 0.45359237}",0
779,"kilogram, live weight","kilograms, live weight",kg,f,"{""factor"": 1}",0
780,"tonne (UK, long), live weight","tonnes (UK, long), live weight",t,f,"{""factor"": 1016.046909}",0
781,gross tonnage,gross tonnage,gt,f,"{""factor"": null}",0
782,ear per acre,ears per acre,ear/acre,f,"{""factor"": 0.0002471053814915898}",0
783,kilowatt,kilowatts,kw,f,"{""factor"": 1000}",0
784,Euro per hectare,Euros per hectare,EUR/ha,f,"{""factor"": null}",0
785,Ghanaian Cedi per unit,Ghanaian Cedis per unit,GHS/unit,f,"{""factor"": null}",0
786,Ghanaian Cedi per head,Ghanaian Cedis per head,GHS/head,f,"{""factor"": null}",0
787,Liberian Dollar per gallon,Liberian Dollars per gallon,LRD/gal,f,"{""factor"": null}",0
788,Guatemalan Quetzal per pound,Guatemalan Quetzales per pound,GTQ/lb,f,"{""factor"": null}",0
789,Haitian Gourde per marmite,Haitian Gourdes per marmite,HTG/marmite,f,"{""factor"": null}",0
790,Nicaraguan Córdobas per pound,Nicaraguan Córdobas per pound,NIO/lb,f,"{""factor"": null}",0
791,Guatemalan Quetzal per gallon,Guatemalan Quetzales per gallon,GTQ/gal,f,"{""factor"": null}",0
792,Nicaraguan Córdobas per gallon,Nicaraguan Córdobas per gallon,NIO/gal,f,"{""factor"": null}",0
793,Bolivian Boliviano per cuartilla,Bolivian Bolivianos per cuartilla,BOB/cuartilla,f,"{""factor"": null}",0
794,Bolivian Boliviano per pound,Bolivian Bolivianos per pound,BOB/lb,f,"{""factor"": null}",0
795,Haitian Gourde per gallon,Haitian Gourdes per gallon,HTG/gal,f,"{""factor"": null}",0
796,Dominican Peso per pound,Dominican Pesos per pound,DOP/lb,f,"{""factor"": null}",0
797,Colombian Peso per gallon,Colombian Pesos per gallon,COP/gal,f,"{""factor"": null}",0
798,Swazi Lilangeni per tonne,Swazi Emalangeni per tonne,SZL/t,f,"{""factor"": null}",0
799,Colombian Peso per tonne,Colombian Pesos per tonne,COP/t,f,"{""factor"": null}",0
800,Dominican Peso per gallon,Dominican Pesos per gallon,DOP/gal,f,"{""factor"": null}",0
801,Afghan Afghani per US Dollar,Afghan Afghanis per US Dollar,AFN/USD,t,"{""factor"": null}",0
802,Congolese Franc per US Dollar,Congolese Francs per US Dollar,CDF/USD,t,"{""factor"": null}",0
804,Ethiopian Birr per US Dollar,Ethiopian Birr per US Dollar,ETB/USD,t,"{""factor"": null}",0
805,Lesotho Loti per liter,Lesotho Maloti per liter,LSL/L,f,"{""factor"": null}",0
806,Swazi Lilangeni per liter,Swazi Emalangeni per liter,SZL/L,f,"{""factor"": null}",0
807,Swazi Lilangeni per kilogram,Swazi Emalangeni per kilogram,SZL/kg,f,"{""factor"": null}",0
808,Philippine Peso per unit,Philippine Pesos per unit,PHP/unit,f,"{""factor"": null}",0
809,Percent of cropland area,Percent of cropland area,% cropland area per km2,t,"{""factor"": 1}",0
811,cubic meter per person,cubic meters per person,m³ pp,t,"{""factor"": 1}",0
812,International Dollar (constant 2011) per capita,International Dollars (constant 2011) per capita,Int Dollar (constant 2011)/cap.,f,"{""factor"": null}",0
813,Ghanaian Cedi per blackbuck,Ghanaian Cedis per blackbuck,GHS/blackbuck,f,"{""factor"": null}",0
814,Ghanaian Cedi per kokobowl,Ghanaian Cedis per kokobowl,GHS/kokobowl,f,"{""factor"": null}",0
815,Ghanaian Cedi per bpaintrubber,Ghanaian Cedis per bpaintrubber,GHS/bpaintrubber,f,"{""factor"": null}",0
816,Ghanaian Cedi per tomatin,Ghanaian Cedis per tomatin,GHS/tomatin,f,"{""factor"": null}",0
817,Ghanaian Cedi per margarinetin,Ghanaian Cedis per margarinetin,GHS/margarinetin,f,"{""factor"": null}",0
818,Ghanaian Cedi per olonka,Ghanaian Cedis per olonka,GHS/olonka,f,"{""factor"": null}",0
819,Ghanaian Cedi per paint bucket,Ghanaian Cedis per paint bucket,GHS/paint bucket,f,"{""factor"": null}",0
820,Ghanaian Cedi per wpaintrubber,Ghanaian Cedis per wpaintrubber,GHS/wpaintrubber,f,"{""factor"": null}",0
821,Ghanaian Cedi per bird,Ghanaian Cedis per bird,GHS/bird,f,"{""factor"": null}",0
822,Ghanaian Cedi per crate,Ghanaian Cedis per crate,GHS/crate,f,"{""factor"": null}",0
823,Kyrgystani Som per unit,Kyrgystani Soms per unit,kgs/unit,f,"{""factor"": null}",0
824,Yemeni Rial per head,Yemeni Rials per head,yer/head,f,"{""factor"": null}",0
829,Euro per kilogram,Euros per kilogram,EUR/kg,f,"{""factor"": null}",0
830,Euro per liter,Euros per liter,EUR/lt,f,"{""factor"": null}",0
831,Euro per item,Euros per item,EUR/item,f,"{""factor"": null}",0
832,Euro per head,Euros per head,EUR/head,f,"{""factor"": null}",0
833,Euro,Euros,EUR,f,"{""factor"": null}",0
834,Percent of Agricultural Area,Percent of Agricultural Area,% of Agricultural Area,t,"{""factor"": 1}",0
835,Euro per kilowatt-hour,Euros per kilowatt-hour,EUR/kwh,f,"{""factor"": null}",0
837,hectare per capita,hectares per capita,ha per capita,f,"{""factor"": 10000}",0
838,million ton-kilometer,million ton-kilometers,million ton-km,f,"{""factor"": 1000000000000}",0
839,number per million,number per million,number/MM,f,"{""factor"": 0.000001}",0
840,million passenger-kilometer,million passenger-kilometers,MM passenger-km,f,"{""factor"": 1000000000}",0
841,twenty-foot equivalent unit,twenty-foot equivalent units,20ft equiv. unit,f,"{""factor"": 1}",0
842,kilotonne,kilotonnes,kt,f,"{""factor"": 1000000}",0
843,microgram per cubic meter,micrograms per cubic meter,mcg/m³,f,"{""factor"": 0.000000001}",0
844,number per 100 square kilometer,number per 100 square kilometer,number/100 km²,f,"{""factor"": 0.00000001}",0
846,Price Index in US Dollar (Jan 2000=100),Price Indices in US Dollar (Jan 2000=100),Jan 2000=100,t,"{""factor"": null}",0
847,Brazilian real per liter,Brazilian reals per liter,BRL/L,f,"{""factor"": null}",0
848,Brazilian real per cubic meter,Brazilian reals per cubic meter,BRL/m³,f,"{""factor"": null}",0
849,million british thermal unit,million british thermal units,MMBTU,f,"{""factor"": 1055060000}",0
850,million british thermal unit per barrel (petroleum),million british thermal units per barrel (petroleum),MMBTU/bbl,f,"{""factor"": 6636127748.446817}",0
851,cubic meter per cubic meter,cubic meters per cubic meters,m³/m³,f,"{""factor"": 1}",0
852,Brazilian real per kilogram,Brazilian reals per kilogram,BRL/kg,f,"{""factor"": null}",0
853,Canadian dollar per kilogram,Canadian dollars per kilogram,CAD/kg,f,"{""factor"": null}",0
854,Canadian dollar,Canadian dollars,CAD,f,"{""factor"": null}",0
855,pound per colony,pounds per colony,lb/colony,f,"{""factor"": 0.45359237}",0
856,Canadian dollar per tonne,Canadian dollars per tonne,CAD/t,f,"{""factor"": null}",0
857,Canadian dollar per hundredweight (short),Canadian dollars per hundredweight (short),CAD/hwt,f,"{""factor"": null}",0
858,"bushel (canola, mustard seed, canary seed) per acre","bushels (canola, mustard seed, canary seed) per acre",bu/acre,f,"{""factor"": 0.00381086}",0
859,Canadian dollar per dozen,Canadian dollars per dozen,CAD/doz,f,"{""factor"": null}",0
860,Canadian dollar per kiloliter,Canadian dollars per kiloliter,CAD/kl,f,"{""factor"": null}",0
861,Canadian dollar per liter,Canadian dollars per liter,CAD/l,f,"{""factor"": null}",0
862,Canadian dollar per unit,Canadian dollars per unit,CAD/unit,f,"{""factor"": null}",0
863,Indian rupee per unit,Indian rupees per unit,INR/unit,f,"{""factor"": null}",0
864,Indian rupee per dozen,Indian rupees per dozen,INR/doz,f,"{""factor"": null}",0
865,"liter per ton (US, short)","liters per ton (US, short)",lt/sh. T,f,"{""factor"": 0.000001102311310924388}",0
866,"kilogram per ton (US, short)","kilograms per ton (US, short)",kg/sh. T,f,"{""factor"": 0.001102310995001}",0
867,kilogram per tonne,kilograms per tonne,kg/t,f,"{""factor"": 0.001}",0
868,"kilogram per tonne (UK, long)","kilograms per tonne (UK, long)",kg/l. t,f,"{""factor"": 0.0009842065274173282}",0
869,"liter per tonne (UK, long)","liters per tonne (UK, long)",lt/l. t,f,"{""factor"": 0.0000009842065274173282}",0
870,liter per tonne,liters per tonne,lt/t,f,"{""factor"": 0.000001}",0
871,"cubic meter per ton (US, short)","cubic meters per ton (US, short)",m³/sh. T,f,"{""factor"": 0.001102311310924388}",0
872,Canadian dollar per head,Canadian dollars per head,CAD/head,f,"{""factor"": null}",0
873,barrel (petroleum) per day,barrels (petroleum) per day,bbl/d,f,"{""factor"": null}",0
874,"pound per bushel (wheat, white potatoes, beans, soybeans, peas)","pounds per bushel (wheat, white potatoes, beans, soybeans, peas)",p/bu,f,"{""factor"": 0.016666678914589}",0
875,US Dollar per farm,US Dollars per farm,USD/farm,t,"{""factor"": 1}",0
876,US Dollar per hundredweight gain (US),US Dollars per hundredweight gain (US),$/cwt,f,"{""factor"": 0.0220462262}",0
877,cup,cups,c,f,"{""factor"": 0.000236588}",0
878,teaspoon,teaspoons,tsp,f,"{""factor"": 0.00000492892}",0
879,Vietnamese dong per hectare,Vietnamese dongs per hectare,VND/ha,f,"{""factor"": null}",0
880,kilogram per capita,kilograms per capita,kg/capita,t,"{""factor"": 1}",0
881,gram per capita,grams per capita,g/capita,f,"{""factor"": 0.001}",0
882,Brazilian real per tonne,Brazilian reals per tonne,BRL/t,f,"{""factor"": null}",0
883,Chinese Yuan per tonne,Chinese Yuan per tonne,RMB/t,f,"{""factor"": null}",0
884,Canadian dollar per pound,Canadian dollars per pound,CAD/lb,f,"{""factor"": null}",0
885,Percent area,Percent area,% area,t,"{""factor"": 1}",0
